"year","words"
"1983","developer manufacture, research developer, infection disease, companion foundation, companion product, product used, united stateoftheart, companion also, developer product, clinic trials"
"1987","research developer, companion focused, developer manufacture, manufacture market, medical device, biopharmaceutical companion, biotechnologies companion, companion developer, life science, pharmaceutical companion"
"1988","biopharmaceutical companion, developer commercialization, drug discoveries, foundation headquartered, product treatment, companion also, companion developer, developer therapeutic, diagnostic test, infection disease"
"1989","companion foundation, small molecular, united stateoftheart, developer manufacture, operate subsidiaries, companion offer, drug candidate, product include, biopharmaceutical companion, companion also"
"1990","developer manufacture, pharmaceutical biotechnologies, data integrate, biopharmaceutical companion, business intelligence, companion developer, companion engage, companion foundation, companion special, custom experience"
"1991","companion developer, research developer, biopharmaceutical companion, companion foundation, developer commercialization, developer manufacture, foundation headquartered, product include, united stateoftheart, discoveries developer"
"1992","companion focused, biopharmaceutical companion, companion developer, developer commercialization, life science, biotechnologies companion, companion foundation, focused developer, phase iii, stem cell"
"1993","research developer, developer manufacture, biotechnologies companion, business intelligence, companion engage, companion focused, developer product, biopharmaceutical companion, companion foundation, foundation headquartered"
"1994","research developer, developer manufacture, business intelligence, companion developer, data integrate, developer commercialization, biopharmaceutical companion, life science, manage solution, united stateoftheart"
"1996","medical device, companion foundation, united stateoftheart, companion focused, companion also, developer manufacture, drug developer, software developer, biopharmaceutical companion, companion provide"
"1997","companion developer, biopharmaceutical companion, companion foundation, pharmaceutical companion, companion engage, life science, companion focused, developer commercialization, medical device, research developer"
"1998","developer commercialization, companion developer, companion foundation, companion focused, biopharmaceutical companion, biotechnologies companion, focused developer, discoveries developer, foundation headquartered, life science"
"1999","companion developer, companion focused, biopharmaceutical companion, developer commercialization, medical device, discoveries developer, companion foundation, product service, digital market, infection disease"
"2000","companion developer, biopharmaceutical companion, biotechnologies companion, companion focused, companion foundation, developer commercialization, focused developer, product include, research developer, united stateoftheart"
"2001","companion developer, biopharmaceutical companion, biotechnologies companion, medical device, companion foundation, companion focused, companion engage, business intelligence, device companion, united stateoftheart"
"2002","companion foundation, companion developer, biotechnologies companion, biopharmaceutical companion, business intelligence, companion focused, life science, developer commercialization, small molecular, companion offer"
"2003","companion developer, biotechnologies companion, developer commercialization, companion focused, companion foundation, biopharmaceutical companion, research developer, drug discoveries, companion engage, focused developer"
"2004","companion foundation, companion developer, biotechnologies companion, companion focused, developer commercialization, focused developer, biopharmaceutical companion, social media, pharmaceutical companion, private held"
"2005","data extraction, web data, companion developer, data service, biotechnologies companion, companion foundation, biopharmaceutical companion, data process, service provide, developer commercialization"
"2006","companion developer, biopharmaceutical companion, companion focused, companion foundation, biotechnologies companion, developer commercialization, business intelligence, companion offer, pharmaceutical companion, life science"
"2007","companion developer, social media, developer commercialization, companion foundation, companion focused, biotechnologies companion, biopharmaceutical companion, medical device, business intelligence, life science"
"2008","social media, companion developer, business intelligence, companion focused, stem cell, biotechnologies companion, companion incorporate, biopharmaceutical companion, companion foundation, search engine"
"2009","social media, companion developer, companion focused, biotechnologies companion, business intelligence, companion incorporate, drug discoveries, life science, medical device, data analytics"
"2010","social media, companion developer, companion focused, business intelligence, data analytics, analytics platform, life science, companion foundation, focused developer, biotechnologies companion"
"2011","social media, data analytics, companion developer, business intelligence, social network, biotechnologies companion, machine learning, mobile app, analytics platform, companion focused"
"2012","social media, data analytics, machine learning, artificial intelligence, social network, companion developer, life science, business intelligence, biotechnologies companion, mobile app"
"2013","machine learning, social media, data analytics, analytics platform, business intelligence, artificial intelligence, companion focused, predictive analytics, digital market, mobile app"
"2014","social media, machine learning, data analytics, analytics platform, artificial intelligence, social network, mobile app, predictive analytics, data analysis, allow user"
"2015","artificial intelligence, machine learning, data analytics, social media, mobile app, mobile application, service provide, technological companion, action insight, make easier"
